TransactionDate,TransactionAmount,day_of_week,month,quarter,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2023-06-26,10827480.069999998,0,6,2,910556.43,660526.0,411403.2,2198737.9871428567,2421480.1269999994
2023-06-27,771600.96,1,6,2,10827480.069999998,825143.6799999999,511460.32999999996,2191089.0271428567,2430151.481333333
2023-06-28,20404055.72,2,6,2,771600.96,815395.55,861528.39,4989469.051428571,3081569.059
2023-06-29,518126.77,3,6,2,20404055.72,782412.16,456817.54000000004,4951713.995714285,3083612.7
2023-06-30,913234.15,4,6,2,518126.77,574700.01,686841.99,5000076.015714285,3091159.1053333334
2023-07-01,682727.0,5,7,3,913234.15,655478.01,604053.05,5003968.728571428,3093781.570333333
2023-07-02,386814.44,6,7,3,682727.0,910556.43,1056855.39,4929148.444285714,3071446.872
2023-07-03,614479.05,0,7,3,386814.44,10827480.069999998,753031.2,3470148.298571428,3066828.4669999997
2023-07-04,338574.84,1,7,3,614479.05,771600.96,722441.44,3408287.424285714,3054032.9136666665
2023-07-05,649312.06,2,7,3,338574.84,20404055.72,929216.77,586181.1871428572,3044702.756666667
2023-07-06,693859.32,3,7,3,649312.06,518126.77,897499.01,611285.8371428571,3037914.7669999995
2023-07-07,667695.74,4,7,3,693859.32,913234.15,1184832.52,576208.9214285715,3020676.8743333328
2023-07-08,459495.02,5,7,3,667695.74,682727.0,545790.5,544318.6385714286,3017800.3583333334
2023-07-09,733115.98,6,7,3,459495.02,386814.44,733455.93,593790.2871428572,3017789.026666666
2023-07-10,742634.53,0,7,3,733115.98,614479.05,10753510.29,612098.2128571429,2684093.1679999996
2023-07-11,629116.26,1,7,3,742634.53,338574.84,10605000.059999999,653604.13,2351563.7079999996
2023-07-12,413563.88,2,7,3,629116.26,649312.06,823621.64,619925.8185714285,2337895.1159999995
2023-07-13,825243.65,3,7,3,413563.88,693859.32,735052.1799999999,638695.0085714285,2340901.4983333335
2023-07-14,1055470.74,4,7,3,825243.65,667695.74,10555413.58,694091.4371428572,2024236.737
2023-07-15,638076.57,5,7,3,1055470.74,459495.02,1003873.05,719603.087142857,2012043.5210000002
2023-07-16,801551.84,6,7,3,638076.57,733115.98,459423.13,729379.6385714285,2023447.8113333331
2023-07-17,671519.71,0,7,3,801551.84,742634.53,10875110.94,719220.3785714285,1683328.1036666667
2023-07-18,465729.97,1,7,3,671519.71,629116.26,837882.97,695879.4799999999,1670923.0036666666
2023-07-19,10653608.879999999,2,7,3,465729.97,413563.88,660526.0,2158743.0514285713,2004025.7663333332
2023-07-20,1003082.54,3,7,3,10653608.879999999,825243.65,825143.6799999999,2184148.6071428573,2009957.0616666668
2023-07-21,741075.44,4,7,3,1003082.54,1055470.74,815395.55,2139234.992857143,2007479.7246666665
2023-07-22,401130.77,5,7,3,741075.44,638076.57,782412.16,2105385.5928571424,1994770.3449999997
2023-07-23,585053.25,6,7,3,401130.77,801551.84,574700.01,2074457.2228571426,1995115.4529999995
2023-07-24,742072.56,0,7,3,585053.25,671519.71,655478.01,2084536.2014285715,1998001.9379999998
2023-07-25,660066.18,1,7,3,742072.56,465729.97,910556.43,2112298.517142857,1989652.2629999998
2023-07-26,10770552.85,2,7,3,660066.18,10653608.879999999,10827480.069999998,2129004.7985714287,1987754.6889999998
2023-07-27,903499.12,3,7,3,10770552.85,1003082.54,771600.96,2114778.5957142855,1992151.294333333
2023-07-28,725256.25,4,7,3,903499.12,741075.44,20404055.72,2112518.711428571,1336191.312
2023-07-29,599919.17,5,7,3,725256.25,401130.77,518126.77,2140917.054285714,1338917.7253333332
2023-07-30,892520.6699999999,6,7,3,599919.17,585053.25,913234.15,2184840.9714285717,1338227.276
2023-07-31,925378.34,0,7,3,892520.6699999999,742072.56,682727.0,2211027.5114285713,1346315.6539999999
2023-08-01,10717648.6,1,8,3,925378.34,660066.18,386814.44,3647825.0,1690676.7926666664
2023-08-02,567496.13,2,8,3,10717648.6,10770552.85,614479.05,2190245.4685714287,1689110.6953333332
2023-08-03,672886.29,3,8,3,567496.13,903499.12,338574.84,2157300.7785714287,1700254.410333333
2023-08-04,637882.25,4,8,3,672886.29,725256.25,649312.06,2144818.7785714287,1699873.4166666667
2023-08-05,656302.28,5,8,3,637882.25,599919.17,693859.32,2152873.5085714287,1698621.5153333333
2023-08-06,716884.15,6,8,3,656302.28,892520.6699999999,667695.74,2127782.5771428575,1700261.129
2023-08-07,466790.13,0,8,3,716884.15,925378.34,459495.02,2062269.9757142856,1700504.2993333335
2023-08-08,766064.0599999999,1,8,3,466790.13,10717648.6,733115.98,640615.0414285715,1701602.5686666665
2023-08-09,720458.72,2,8,3,766064.0599999999,567496.13,742634.53,662466.84,1700863.375
2023-08-10,677639.04,3,8,3,720458.72,672886.29,629116.26,663145.8042857143,1702480.801
2023-08-11,303118.89,4,8,3,677639.04,637882.25,413563.88,615322.4671428573,1698799.3013333334
2023-08-12,1135548.42,5,8,3,303118.89,656302.28,825243.65,683786.2014285715,1709142.7936666666
2023-08-13,824195.47,6,8,3,1135548.42,716884.15,1055470.74,699116.3899999999,1701433.6179999998
2023-08-14,1007470.72,0,8,3,824195.47,466790.13,638076.57,776356.4742857143,1713746.7563333332
2023-08-15,571130.18,1,8,3,1007470.72,766064.0599999999,801551.84,748508.7771428571,1706066.0343333334
2023-08-16,769827.45,2,8,3,571130.18,720458.72,671519.71,755561.4528571429,1709342.9589999998
2023-08-17,10661347.959999999,3,8,3,769827.45,677639.04,465729.97,2181805.584285714,2049196.892
2023-08-18,378969.27,4,8,3,10661347.959999999,303118.89,10653608.879999999,2192641.352857142,1706708.905
2023-08-19,10660132.8,5,8,3,378969.27,1135548.42,1003082.54,3553296.264285714,2028610.5803333332
2023-08-20,503874.37,6,8,3,10660132.8,824195.47,741075.44,3507536.1071428573,2020703.8779999998
2023-08-21,748533.98,0,8,3,503874.37,1007470.72,401130.77,3470545.1442857147,2032283.9849999999
2023-08-22,348069.11,1,8,3,748533.98,571130.18,585053.25,3438679.277142857,2024384.5136666666
2023-08-23,801935.63,2,8,3,348069.11,769827.45,742072.56,3443266.1599999997,2026379.9493333334
2023-08-24,670139.29,3,8,3,801935.63,10661347.959999999,660066.18,2015950.6357142858,2026715.7196666668
2023-08-25,599247.1,4,8,3,670139.29,378969.27,10770552.85,2047418.8971428573,1687672.1946666664
2023-08-26,878171.0,5,8,3,599247.1,10660132.8,903499.12,649995.782857143,1686827.9239999999
2023-08-27,10443320.88,6,8,3,878171.0,503874.37,725256.25,2069916.7128571433,2010763.4116666666
2023-08-28,764660.0,0,8,3,10443320.88,748533.98,599919.17,2072220.43,2016254.7726666667
2023-08-29,523183.06,1,8,3,764660.0,348069.11,892520.6699999999,2097236.708571429,2003943.519
2023-08-30,1013373.47,2,8,3,523183.06,801935.63,925378.34,2127442.114285714,2006876.6900000002
2023-08-31,406696.08,3,8,3,1013373.47,670139.29,10717648.6,2089807.3699999999,1663178.2726666667
2023-09-01,576001.1,4,9,3,406696.08,599247.1,567496.13,2086486.5128571428,1663461.7716666667
2023-09-02,10731840.2,5,9,3,576001.1,878171.0,672886.29,3494153.541428571,1998760.2353333335
2023-09-03,10450159.870000001,6,9,3,10731840.2,10443320.88,637882.25,3495130.54,2325836.1560000004
2023-09-04,639556.5800000001,0,9,3,10450159.870000001,764660.0,656302.28,3477258.6228571427,2325277.966
2023-09-05,835524.65,1,9,3,639556.5800000001,523183.06,716884.15,3521878.85,2329232.649333333
2023-09-06,916955.94,2,9,3,835524.65,1013373.47,466790.13,3508104.917142857,2344238.176333333
2023-09-07,728957.4,3,9,3,916955.94,406696.08,766064.0599999999,3554142.2485714285,2343001.2876666663
2023-09-08,10817805.61,4,9,3,728957.4,576001.1,720458.72,5017257.178571428,2679579.5173333334
2023-09-09,534509.97,5,9,3,10817805.61,10731840.2,677639.04,3560495.717142857,2674808.5483333333
2023-09-10,751263.56,6,9,3,534509.97,10450159.870000001,303118.89,2174939.101428571,2689746.7040000004
2023-09-11,654445.35,0,9,3,751263.56,639556.5800000001,1135548.42,2177066.0685714283,2673709.935
2023-09-12,427886.78,1,9,3,654445.35,835524.65,824195.47,2118832.087142857,2660499.6453333334
2023-09-13,665655.19,2,9,3,427886.78,916955.94,1007470.72,2082931.9799999997,2649105.794333333
